Mass,Slight,Minor,Major
0,44.16,64.51,102.24
0.1,44.16,64.51,102.24
0.11,40.14,58.65,92.97
0.12,36.79,53.76,85.25
0.13,33.96,49.63,78.71
0.14,31.53,46.08,73.1
0.15,29.42,43.01,68.25
0.16,27.58,40.33,63.99
0.17,25.96,37.96,60.24
0.18,24.51,35.85,56.9
0.19,23.22,33.96,53.92
0.2,22.06,32.26,51.23
0.21,21,30.73,48.8
0.22,20.05,29.33,46.59
0.23,19.18,28.06,44.57
0.24,18.38,26.89,42.72
0.25,17.64,25.81,41.01
0.26,16.96,24.82,39.44
0.27,16.33,23.9,37.98
0.28,15.75,23.05,36.63
0.29,15.2,22.25,35.37
0.3,14.7,21.51,34.2
0.31,14.22,20.82,33.1
0.32,13.78,20.17,32.07
0.33,13.36,19.56,31.1
0.34,12.96,18.98,30.18
0.35,12.59,18.44,29.33
0.36,12.24,17.93,28.51
0.37,11.91,17.44,27.74
0.38,11.6,16.99,27.02
0.39,11.3,16.55,26.33
0.4,11.02,16.14,25.67
0.41,10.75,15.74,25.05
0.42,10.49,15.37,24.45
0.43,10.25,15.01,23.88
0.44,10.01,14.67,23.34
0.45,9.79,14.34,22.83
0.46,9.58,14.03,22.33
0.47,9.37,13.73,21.86
0.48,9.18,13.45,21.4
0.49,8.99,13.17,20.97
0.5,8.81,12.91,20.55
0.51,8.64,12.66,20.15
0.52,8.47,12.41,19.76
0.53,8.31,12.18,19.39
0.54,8.16,11.95,19.03
0.55,8.01,11.74,18.69
0.56,7.87,11.53,18.35
0.57,7.73,11.33,18.03
0.58,7.59,11.13,17.72
0.59,7.46,10.94,17.42
0.6,7.34,10.76,17.13
0.61,7.22,10.58,16.85
0.62,7.1,10.41,16.58
0.63,6.99,10.25,16.32
0.64,6.88,10.09,16.07
0.65,6.77,9.93,15.82
0.66,6.67,9.78,15.58
0.67,6.57,9.64,15.35
0.68,6.48,9.49,15.12
0.69,6.38,9.36,14.91
0.7,6.29,9.22,14.69
0.71,6.2,9.09,14.49
0.72,6.12,8.97,14.29
0.73,6.03,8.84,14.09
0.74,5.95,8.72,13.9
0.75,5.87,8.61,13.72
0.76,5.79,8.5,13.54
0.77,5.72,8.38,13.36
0.78,5.64,8.28,13.19
0.79,5.57,8.17,13.02
0.8,5.5,8.07,12.86
0.81,5.43,7.97,12.7
0.82,5.37,7.87,12.55
0.83,5.3,7.78,12.4
0.84,5.24,7.69,12.25
0.85,5.18,7.6,12.11
0.86,5.12,7.51,11.97
0.87,5.06,7.42,11.83
0.88,5,7.34,11.7
0.89,4.95,7.25,11.57
0.9,4.89,7.17,11.44
0.91,4.84,7.1,11.31
0.92,4.78,7.02,11.19
0.93,4.73,6.94,11.07
0.94,4.68,6.87,10.95
0.95,4.63,6.8,10.84
0.96,4.58,6.73,10.72
0.97,4.54,6.66,10.61
0.98,4.49,6.59,10.51
0.99,4.45,6.52,10.4
1,4.4,6.46,10.3
1.1,4.047144378,5.948735765,9.483954374
1.2,3.74929586,5.516961171,8.794822565
1.3,3.494325406,5.147158039,8.204631426
1.4,3.273457844,4.826650403,7.693140583
1.5,3.08018176,4.546031122,7.24532963
1.6,2.909559975,4.298166489,6.849808483
1.7,2.757778373,4.07754488,6.497777211
1.8,2.621842014,3.879837968,6.182325324
1.9,2.499365198,3.701597549,5.897947642
2,2.388423153,3.540041376,5.640202309
2.1,2.287445215,3.392898852,5.405464394
2.2,2.195136491,3.258297882,5.190745221
2.3,2.110419522,3.134680601,4.993557813
2.4,2.032390207,3.020739698,4.811815209
2.5,1.960284077,2.915369679,4.643752659
2.6,1.893450165,2.817629127,4.487867361
2.7,1.831330577,2.72671116,4.342871295
2.8,1.773444317,2.641920074,4.20765393
2.9,1.719374398,2.562652712,4.081252476
3,1.668757476,2.488383464,3.962827949
3.1,1.621275425,2.41865212,3.851645758
3.2,1.57664848,2.353053934,3.747059854
3.3,1.534629582,2.291231457,3.648499695
3.4,1.494999702,2.23286778,3.555459449
3.5,1.457563954,2.177680908,3.467489019
3.6,1.42214833,2.125419046,3.384186516
3.7,1.388596962,2.075856637,3.30519193
3.8,1.3567698,2.028791007,3.230181779
3.9,1.326540647,1.984039513,3.158864562
4,1.297795468,1.941437115,3.090976865
4.1,1.270430956,1.900834288,3.026280046
4.2,1.244353286,1.862095229,2.964557365
4.3,1.21947705,1.825096308,2.905611508
4.4,1.195724321,1.789724724,2.849262449
4.5,1.17302385,1.755877334,2.79534558
4.6,1.151310358,1.723459639,2.743710082
4.7,1.130523922,1.692384887,2.694217508
4.8,1.110609433,1.662573291,2.646740524
4.9,1.091516114,1.633951336,2.601161808
5,1.073197107,1.606451175,2.557373085
5.1,1.05560909,1.580010086,2.515274259
5.2,1.038711958,1.554569995,2.474772649
5.3,1.02246852,1.530077046,2.435782316
5.4,1.006844239,1.506481233,2.398223451
5.5,0.991807001,1.483736045,2.362021835
5.6,0.977326897,1.461798175,2.327108358
5.7,0.963376047,1.440627242,2.293418581
5.8,0.949928419,1.420185547,2.260892342
5.9,0.936959683,1.400437853,2.229473412
6,0.92444707,1.381351185,2.199109172
6.1,0.912369254,1.362894648,2.169750321
6.2,0.900706228,1.345039273,2.141350627
6.3,0.889439215,1.327757854,2.113866684
6.4,0.878550563,1.311024828,2.087257697
6.5,0.868023671,1.294816145,2.061485288
6.6,0.857842906,1.279109158,2.036513322
6.7,0.847993532,1.263882524,2.012307739
6.8,0.838461651,1.249116106,1.98883641
6.9,0.829234139,1.234790893,1.966068999
7,0.820298595,1.220888921,1.943976838
7.1,0.811643292,1.207393197,1.922532815
7.2,0.803257128,1.194287639,1.901711271
7.3,0.79512959,1.181557015,1.881487897
7.4,0.78725071,1.169186883,1.86183965
7.5,0.779611034,1.157163542,1.842744674
7.6,0.772201586,1.145473991,1.824182215
7.7,0.765013839,1.134105871,1.806132561
7.8,0.758039688,1.123047441,1.788576972
7.9,0.751271424,1.112287526,1.771497622
8,0.744701705,1.101815492,1.754877543
8.1,0.738323545,1.091621212,1.738700575
8.2,0.732130279,1.081695032,1.722951313
8.3,0.726115557,1.072027744,1.707615071
8.4,0.720273318,1.062610569,1.692677835
8.5,0.714597775,1.053435119,1.678126225
8.6,0.709083403,1.044493384,1.663947462
8.7,0.703724916,1.035777709,1.650129331
8.8,0.698517266,1.027280773,1.636660152
8.9,0.693455621,1.018995574,1.623528749
9,0.688535353,1.010915407,1.610724429
9.1,0.683752034,1.00303385,1.598236946
9.2,0.679101418,0.995344754,1.586056484
9.3,0.674579438,0.98784222,1.574173637
9.4,0.670182192,0.980520592,1.56257938
9.5,0.665905936,0.973374446,1.551265056
9.6,0.661747077,0.966398571,1.540222356
9.7,0.657702165,0.959587967,1.529443298
9.8,0.653767883,0.952937828,1.518920216
9.9,0.649941047,0.946443534,1.508645742
10,0.646218592,0.940100647,1.49861279
